,Policy type,Event details,Event frequency,Event relevance,Previous attendance,Is presenting,CarbonReduction,LossFromReduction,Reputation,LossFromReputation,Optimal
0,Carbon tax/distance,Conference,Low,High,Low,Yes,1.03834,0.0,0.51539,0.0,Yes
1,Carbon tax/flight,Workshop,High,High,High,Yes,0.85948,0.0,0.51539,0.0,No
2,Carbon tax/distance,Workshop,Low,High,Medium,No,1.03834,0.0,0.51539,0.0,No
3,As-is,Meetings,Medium,Low,Low,Yes,-1.38611,0.0,0.51539,0.0,No
4,Cap distance,Workshop,Low,Low,Low,Yes,-0.51172,0.0,0.51539,0.0,No
5,As-is,Meetings,High,High,Medium,No,-1.38611,0.0,0.51539,0.0,No
6,As-is,Conference,Medium,Low,High,Yes,-1.38611,0.0,0.51539,0.0,No
7,Carbon tax/flight,Conference,Medium,Medium,High,Yes,0.85948,0.0,0.51539,0.0,No
8,Cap distance,Workshop,High,Low,Low,No,-0.51172,0.0,-1.94029,0.0,No
9,Carbon tax/flight,Meetings,Medium,Medium,Low,Yes,0.85948,0.0,0.51539,0.0,No
10,Cap distance,Conference,Low,Medium,Medium,No,-0.51172,0.0,0.51539,0.0,No
11,Carbon tax/flight,Workshop,Low,Low,Medium,No,0.85948,0.0,-1.94029,0.0,No
12,Cap distance,Meetings,Low,Medium,High,Yes,-0.51172,0.0,0.51539,0.0,No
13,Cap distance,Meetings,High,High,High,Yes,-0.51172,0.0,0.51539,0.0,No
14,As-is,Workshop,High,High,Low,Yes,-1.38611,0.0,0.51539,0.0,No
15,Cap distance,Meetings,Low,Low,Medium,No,-0.51172,0.0,-1.94029,0.0,No
16,Carbon tax/flight,Conference,Medium,Low,Medium,No,0.85948,0.0,-1.94029,0.0,No
17,Carbon tax/distance,Workshop,Medium,Low,Low,No,1.03834,0.0,-1.94029,0.0,No
18,Carbon tax/flight,Conference,Low,Low,Low,No,0.85948,0.0,0.51539,0.0,No
19,Cap distance,Conference,High,Low,Medium,Yes,-0.51172,0.0,0.51539,0.0,No
20,Carbon tax/distance,Conference,High,Low,Low,No,1.03834,0.0,-1.94029,0.0,No
21,Cap distance,Workshop,Medium,Low,Medium,Yes,-0.51172,0.0,-1.94029,0.0,No
22,As-is,Meetings,Low,Medium,Medium,No,-1.38611,0.0,0.51539,0.0,No
23,Carbon tax/distance,Conference,Medium,High,Medium,No,1.03834,0.0,0.51539,0.0,No
24,Carbon tax/flight,Workshop,Low,Medium,High,Yes,0.85948,0.0,0.51539,0.0,No
25,Carbon tax/distance,Conference,Low,High,Low,No,1.03834,0.0,0.51539,0.0,No
26,Carbon tax/distance,Workshop,High,Low,Low,Yes,1.03834,0.0,0.51539,0.0,No
27,Cap distance,Conference,High,High,Medium,No,-0.51172,0.0,0.51539,0.0,No
28,Cap distance,Conference,Medium,Low,Low,Yes,-0.51172,0.0,0.51539,0.0,No
29,Carbon tax/distance,Conference,Low,Medium,Medium,Yes,1.03834,0.0,0.51539,0.0,No
30,As-is,Meetings,High,Low,Medium,Yes,-1.38611,0.0,-1.94029,0.0,No
31,As-is,Workshop,High,Medium,Low,No,-1.38611,0.0,0.51539,0.0,No
32,Carbon tax/distance,Meetings,Medium,High,High,Yes,1.03834,0.0,0.51539,0.0,No
33,As-is,Workshop,High,Low,High,No,-1.38611,0.0,-1.94029,0.0,No
34,Cap distance,Workshop,Medium,High,Medium,No,-0.51172,0.0,0.51539,0.0,No
35,As-is,Conference,Low,Medium,High,Yes,-1.38611,0.0,0.51539,0.0,No
36,Cap distance,Workshop,Low,High,Low,No,-0.51172,0.0,0.51539,0.0,No
37,Carbon tax/distance,Meetings,High,Medium,High,Yes,1.03834,0.0,0.51539,0.0,No
38,As-is,Conference,High,Medium,Medium,Yes,-1.38611,0.0,0.51539,0.0,No
39,As-is,Meetings,Medium,Medium,Medium,Yes,-1.38611,0.0,0.51539,0.0,No
40,Cap distance,Workshop,Low,Medium,Medium,Yes,-0.51172,0.0,0.51539,0.0,No
41,As-is,Meetings,Low,Medium,Low,Yes,-1.38611,0.0,0.51539,0.0,No
42,As-is,Meetings,High,Low,High,No,-1.38611,0.0,-1.94029,0.0,No
43,Carbon tax/flight,Conference,High,Low,Medium,Yes,0.85948,0.0,0.51539,0.0,No
44,Carbon tax/flight,Meetings,Medium,High,High,No,0.85948,0.0,0.51539,0.0,No
45,Carbon tax/flight,Conference,High,High,High,No,0.85948,0.0,0.51539,0.0,No
46,As-is,Conference,Low,High,Low,Yes,-1.38611,0.0,0.51539,0.0,No
47,Carbon tax/distance,Workshop,High,Low,Medium,No,1.03834,0.0,-1.94029,0.0,No
48,As-is,Conference,Medium,High,Medium,Yes,-1.38611,0.0,0.51539,0.0,No
49,As-is,Workshop,Medium,Medium,High,No,-1.38611,0.0,-1.94029,0.0,No
50,Carbon tax/distance,Conference,High,High,Medium,Yes,1.03834,0.0,0.51539,0.0,No
51,Carbon tax/flight,Conference,Low,High,High,Yes,0.85948,0.0,0.51539,0.0,No
52,Carbon tax/flight,Meetings,High,Medium,High,No,0.85948,0.0,-1.94029,0.0,No
53,Cap distance,Meetings,Medium,Low,High,Yes,-0.51172,0.0,-1.94029,0.0,No
54,Carbon tax/distance,Workshop,High,Medium,High,Yes,1.03834,0.0,0.51539,0.0,No
55,As-is,Meetings,High,Medium,Low,No,-1.38611,0.0,0.51539,0.0,No
56,Carbon tax/distance,Conference,High,Medium,Medium,No,1.03834,0.0,0.51539,0.0,No
57,As-is,Meetings,Medium,High,Low,No,-1.38611,0.0,0.51539,0.0,No
58,Cap distance,Meetings,High,Low,Low,No,-0.51172,0.0,-1.94029,0.0,No
59,As-is,Workshop,Low,High,Medium,Yes,-1.38611,0.0,0.51539,0.0,No
60,Cap distance,Conference,Low,Low,High,Yes,-0.51172,0.0,0.51539,0.0,No
61,Carbon tax/flight,Meetings,Low,Low,Medium,No,0.85948,0.0,-1.94029,0.0,No
62,Cap distance,Meetings,Medium,High,High,No,-0.51172,0.0,0.51539,0.0,No
63,Carbon tax/distance,Meetings,Medium,Low,Low,No,1.03834,0.0,-1.94029,0.0,No
64,As-is,Conference,Low,Low,High,No,-1.38611,0.0,-1.94029,0.0,No
65,Cap distance,Conference,Low,Medium,Low,Yes,-0.51172,0.0,0.51539,0.0,No
66,Carbon tax/distance,Meetings,Medium,Medium,High,No,1.03834,0.0,0.51539,0.0,No
67,Carbon tax/distance,Conference,Low,Low,Low,Yes,1.03834,0.0,0.51539,0.0,No
68,Cap distance,Conference,Medium,Medium,Medium,Yes,-0.51172,0.0,0.51539,0.0,No
69,Carbon tax/distance,Conference,Medium,Low,Medium,Yes,1.03834,0.0,0.51539,0.0,No
70,Cap distance,Meetings,Medium,Medium,Low,Yes,-0.51172,0.0,0.51539,0.0,No
71,As-is,Meetings,Low,Low,High,Yes,-1.38611,0.0,0.51539,0.0,No
72,Carbon tax/distance,Meetings,High,High,Low,Yes,1.03834,0.0,0.51539,0.0,No
73,Carbon tax/flight,Meetings,Medium,Low,High,Yes,0.85948,0.0,-1.94029,0.0,No
74,Cap distance,Meetings,High,Medium,High,No,-0.51172,0.0,-1.94029,0.0,No
75,Carbon tax/distance,Workshop,Low,Low,Medium,Yes,1.03834,0.0,0.51539,0.0,No
76,Carbon tax/distance,Conference,High,Medium,Low,Yes,1.03834,0.0,0.51539,0.0,No
77,Carbon tax/distance,Meetings,Medium,Medium,Medium,Yes,1.03834,0.0,0.51539,0.0,No
78,Carbon tax/distance,Meetings,Low,Medium,Low,Yes,1.03834,0.0,0.51539,0.0,No
79,Carbon tax/distance,Conference,Medium,High,Low,Yes,1.03834,0.0,0.51539,0.0,No
80,Cap distance,Workshop,High,Medium,High,No,-0.51172,0.0,-1.94029,0.0,No
81,Carbon tax/flight,Workshop,Low,High,Low,No,0.85948,0.0,0.51539,0.0,No
82,Carbon tax/distance,Conference,High,Low,High,Yes,1.03834,0.0,-1.94029,0.0,No
83,Cap distance,Workshop,Medium,High,High,No,-0.51172,0.0,0.51539,0.0,No
84,Carbon tax/distance,Meetings,Low,Low,High,Yes,1.03834,0.0,0.51539,0.0,No
85,As-is,Conference,High,Low,Low,Yes,-1.38611,0.0,0.51539,0.0,No
86,Carbon tax/distance,Meetings,High,Medium,Low,No,1.03834,0.0,0.51539,0.0,No
87,Cap distance,Workshop,Low,Medium,High,Yes,-0.51172,0.0,0.51539,0.0,No
88,As-is,Workshop,High,Low,Medium,Yes,-1.38611,0.0,-1.94029,0.0,No
89,Carbon tax/distance,Meetings,High,Low,High,No,1.03834,0.0,-1.94029,0.0,No
90,Cap distance,Meetings,High,Medium,Medium,No,-0.51172,0.0,0.51539,0.0,No
91,Carbon tax/distance,Conference,Medium,Low,High,No,1.03834,0.0,-1.94029,0.0,No
92,Carbon tax/flight,Meetings,Low,Medium,Low,No,0.85948,0.0,0.51539,0.0,No
93,Carbon tax/flight,Conference,Low,Medium,High,No,0.85948,0.0,0.51539,0.0,No
94,Cap distance,Conference,Medium,Medium,High,Yes,-0.51172,0.0,0.51539,0.0,No
95,Carbon tax/flight,Conference,Medium,High,Low,No,0.85948,0.0,0.51539,0.0,No
96,Carbon tax/flight,Meetings,Medium,Medium,Medium,No,0.85948,0.0,0.51539,0.0,No
97,Carbon tax/flight,Conference,High,Medium,Low,No,0.85948,0.0,0.51539,0.0,No
98,Cap distance,Meetings,Low,High,Low,No,-0.51172,0.0,0.51539,0.0,No
99,Carbon tax/flight,Workshop,Low,Low,Low,Yes,0.85948,0.0,0.51539,0.0,No
100,As-is,Workshop,High,High,Medium,No,-1.38611,0.0,0.51539,0.0,No
101,Cap distance,Meetings,Medium,High,Medium,No,-0.51172,0.0,0.51539,0.0,No
102,As-is,Workshop,Medium,Low,Low,Yes,-1.38611,0.0,0.51539,0.0,No
103,As-is,Meetings,High,High,Low,Yes,-1.38611,0.0,0.51539,0.0,No
104,Carbon tax/distance,Meetings,Medium,High,Low,No,1.03834,0.0,0.51539,0.0,No
105,Carbon tax/flight,Workshop,Medium,Low,Medium,Yes,0.85948,0.0,-1.94029,0.0,No
106,As-is,Conference,High,High,Low,No,-1.38611,0.0,0.51539,0.0,No
107,As-is,Meetings,Low,High,High,Yes,-1.38611,0.0,0.51539,0.0,No
108,Carbon tax/distance,Conference,Medium,Medium,Low,No,1.03834,0.0,0.51539,0.0,No
109,Carbon tax/flight,Conference,High,Low,High,No,0.85948,0.0,-1.94029,0.0,No
110,Cap distance,Meetings,Medium,Low,Medium,Yes,-0.51172,0.0,0.51539,0.0,No
111,Cap distance,Meetings,Low,Low,Low,Yes,-0.51172,0.0,0.51539,0.0,No
112,Carbon tax/distance,Meetings,High,Low,Low,Yes,1.03834,0.0,0.51539,0.0,No
113,Carbon tax/distance,Workshop,High,High,Low,No,1.03834,0.0,0.51539,0.0,No
114,Carbon tax/flight,Meetings,High,Low,Low,Yes,0.85948,0.0,0.51539,0.0,No
115,Carbon tax/flight,Workshop,Medium,High,Medium,No,0.85948,0.0,0.51539,0.0,No
116,Cap distance,Workshop,High,High,High,Yes,-0.51172,0.0,0.51539,0.0,No
117,Carbon tax/flight,Conference,Medium,Low,Low,Yes,0.85948,0.0,0.51539,0.0,No
118,Cap distance,Workshop,Low,Low,Medium,No,-0.51172,0.0,-1.94029,0.0,No
119,Carbon tax/flight,Meetings,Low,Medium,High,Yes,0.85948,0.0,0.51539,0.0,No
120,Carbon tax/flight,Workshop,High,Medium,Medium,No,0.85948,0.0,-1.94029,0.0,No
121,Carbon tax/distance,Workshop,Low,Low,High,No,1.03834,0.0,-1.94029,0.0,No
122,Carbon tax/distance,Conference,Low,High,High,Yes,1.03834,0.0,0.51539,0.0,No
123,Carbon tax/flight,Workshop,Medium,Medium,Low,No,0.85948,0.0,0.51539,0.0,No
124,Cap distance,Conference,Medium,Low,Medium,No,-0.51172,0.0,-1.94029,0.0,No
125,Carbon tax/distance,Meetings,High,High,Medium,No,1.03834,0.0,0.51539,0.0,No
126,Cap distance,Workshop,Medium,Medium,Low,Yes,-0.51172,0.0,0.51539,0.0,No
127,As-is,Workshop,Medium,High,Low,No,-1.38611,0.0,0.51539,0.0,No
128,Carbon tax/distance,Conference,High,High,High,No,1.03834,0.0,0.51539,0.0,No
129,Carbon tax/flight,Workshop,High,High,Medium,Yes,0.85948,0.0,0.51539,0.0,No
130,Carbon tax/flight,Meetings,High,High,Low,No,0.85948,0.0,0.51539,0.0,No
131,Cap distance,Conference,Low,Low,Low,No,-0.51172,0.0,0.51539,0.0,No
132,As-is,Conference,Low,Low,Medium,No,-1.38611,0.0,0.51539,0.0,No
133,Carbon tax/flight,Conference,High,High,Low,Yes,0.85948,0.0,0.51539,0.0,No
134,Carbon tax/flight,Conference,High,High,Medium,Yes,0.85948,0.0,0.51539,0.0,No
135,Carbon tax/flight,Meetings,Low,Low,High,No,0.85948,0.0,-1.94029,0.0,No
136,Carbon tax/distance,Meetings,Low,High,High,No,1.03834,0.0,0.51539,0.0,No
137,Cap distance,Workshop,Medium,Low,High,Yes,-0.51172,0.0,-1.94029,0.0,No
138,Carbon tax/distance,Workshop,Low,Medium,Low,No,1.03834,0.0,0.51539,0.0,No
139,Carbon tax/distance,Workshop,Medium,Medium,Medium,No,1.03834,0.0,0.51539,0.0,No
140,As-is,Conference,High,High,High,Yes,-1.38611,0.0,0.51539,0.0,No
141,As-is,Meetings,Medium,Medium,High,No,-1.38611,0.0,0.51539,0.0,No
142,As-is,Meetings,Low,Medium,High,No,-1.38611,0.0,0.51539,0.0,No
143,Carbon tax/distance,Workshop,Low,High,Low,Yes,1.03834,0.0,0.51539,0.0,No
144,Carbon tax/flight,Conference,Low,High,Low,No,0.85948,0.0,0.51539,0.0,No
145,Carbon tax/flight,Conference,Medium,High,Medium,No,0.85948,0.0,0.51539,0.0,No
146,Cap distance,Conference,Low,High,Medium,Yes,-0.51172,0.0,0.51539,0.0,No
147,As-is,Workshop,Low,Low,High,Yes,-1.38611,0.0,0.51539,0.0,No
148,Carbon tax/distance,Workshop,Medium,High,Medium,Yes,1.03834,0.0,0.51539,0.0,No
149,As-is,Conference,Medium,High,High,No,-1.38611,0.0,0.51539,0.0,No
150,As-is,Workshop,Medium,Medium,Medium,Yes,-1.38611,0.0,0.51539,0.0,No
151,Carbon tax/flight,Meetings,Medium,Low,Low,No,0.85948,0.0,-1.94029,0.0,No
152,Carbon tax/distance,Workshop,High,Medium,Medium,Yes,1.03834,0.0,0.51539,0.0,No
153,Carbon tax/flight,Conference,High,Medium,Medium,No,0.85948,0.0,0.51539,0.0,No
154,As-is,Workshop,Low,Medium,Low,Yes,-1.38611,0.0,0.51539,0.0,No
155,As-is,Meetings,High,Medium,High,Yes,-1.38611,0.0,0.51539,0.0,No
156,Carbon tax/flight,Workshop,High,Low,Low,No,0.85948,0.0,-1.94029,0.0,No
157,Carbon tax/distance,Meetings,High,Low,Medium,Yes,1.03834,0.0,-1.94029,0.0,No
158,Carbon tax/flight,Meetings,Medium,High,Medium,Yes,0.85948,0.0,0.51539,0.0,No
159,As-is,Conference,Medium,Medium,Low,Yes,-1.38611,0.0,0.51539,0.0,No
160,Carbon tax/flight,Meetings,High,Medium,Medium,Yes,0.85948,0.0,0.51539,0.0,No
161,As-is,Meetings,Medium,High,High,Yes,-1.38611,0.0,0.51539,0.0,No
162,As-is,Conference,High,Medium,High,No,-1.38611,0.0,0.51539,0.0,No
163,Cap distance,Meetings,Low,Medium,Medium,Yes,-0.51172,0.0,0.51539,0.0,No
164,Carbon tax/flight,Workshop,Low,High,Medium,No,0.85948,0.0,0.51539,0.0,No
165,As-is,Workshop,Low,High,High,No,-1.38611,0.0,0.51539,0.0,No
166,Carbon tax/flight,Meetings,Low,High,Low,Yes,0.85948,0.0,0.51539,0.0,No
167,Carbon tax/distance,Workshop,Medium,High,Low,No,1.03834,0.0,0.51539,0.0,No
168,As-is,Workshop,Low,Low,High,No,-1.38611,0.0,-1.94029,0.0,No
169,Carbon tax/flight,Meetings,Low,Medium,Medium,Yes,0.85948,0.0,0.51539,0.0,No
170,Carbon tax/distance,Meetings,Medium,Low,High,Yes,1.03834,0.0,-1.94029,0.0,No
171,Carbon tax/flight,Meetings,High,Medium,Medium,No,0.85948,0.0,0.51539,0.0,No
172,Carbon tax/distance,Conference,Medium,Medium,High,Yes,1.03834,0.0,0.51539,0.0,No
173,Cap distance,Conference,High,High,Medium,Yes,-0.51172,0.0,0.51539,0.0,No
174,Carbon tax/distance,Workshop,High,Medium,Low,No,1.03834,0.0,0.51539,0.0,No
175,As-is,Conference,Medium,High,High,Yes,-1.38611,0.0,0.51539,0.0,No
176,Carbon tax/distance,Conference,Low,Low,Low,No,1.03834,0.0,0.51539,0.0,No
177,Carbon tax/flight,Meetings,Low,High,Low,No,0.85948,0.0,0.51539,0.0,No
178,Cap distance,Meetings,Medium,Low,Low,No,-0.51172,0.0,-1.94029,0.0,No
179,Carbon tax/distance,Conference,Medium,Low,Medium,No,1.03834,0.0,-1.94029,0.0,No
180,Carbon tax/flight,Meetings,Medium,High,Medium,No,0.85948,0.0,0.51539,0.0,No
181,Cap distance,Workshop,Medium,Medium,High,Yes,-0.51172,0.0,0.51539,0.0,No
182,Carbon tax/flight,Workshop,High,Medium,Low,Yes,0.85948,0.0,0.51539,0.0,No
183,As-is,Conference,High,Medium,High,Yes,-1.38611,0.0,0.51539,0.0,No
184,As-is,Workshop,High,Low,Low,Yes,-1.38611,0.0,0.51539,0.0,No
185,Cap distance,Meetings,High,Low,High,Yes,-0.51172,0.0,-1.94029,0.0,No
186,As-is,Conference,Medium,Medium,Low,No,-1.38611,0.0,0.51539,0.0,No
187,Carbon tax/distance,Workshop,High,High,High,Yes,1.03834,0.0,0.51539,0.0,No
188,As-is,Meetings,Medium,Low,High,No,-1.38611,0.0,-1.94029,0.0,No
189,As-is,Workshop,Low,High,Low,Yes,-1.38611,0.0,0.51539,0.0,No
190,Carbon tax/distance,Meetings,Medium,Low,Medium,No,1.03834,0.0,-1.94029,0.0,No
191,As-is,Conference,Medium,High,Medium,No,-1.38611,0.0,0.51539,0.0,No
192,As-is,Conference,High,Low,Medium,No,-1.38611,0.0,-1.94029,0.0,No
193,Cap distance,Meetings,High,Low,Medium,No,-0.51172,0.0,-1.94029,0.0,No
194,As-is,Conference,Low,High,Low,No,-1.38611,0.0,0.51539,0.0,No
195,Carbon tax/distance,Workshop,Low,High,Medium,Yes,1.03834,0.0,0.51539,0.0,No
196,As-is,Workshop,Medium,High,Medium,Yes,-1.38611,0.0,0.51539,0.0,No
197,Carbon tax/distance,Meetings,Low,Low,Low,No,1.03834,0.0,0.51539,0.0,No
198,Carbon tax/flight,Conference,High,Low,Low,No,0.85948,0.0,-1.94029,0.0,No
199,Carbon tax/flight,Workshop,Medium,High,Low,Yes,0.85948,0.0,0.51539,0.0,No
200,Carbon tax/flight,Meetings,Medium,High,High,Yes,0.85948,0.0,0.51539,0.0,No
201,As-is,Conference,High,Medium,Medium,No,-1.38611,0.0,0.51539,0.0,No
202,Cap distance,Workshop,Low,High,High,Yes,-0.51172,0.0,0.51539,0.0,No
203,Carbon tax/flight,Meetings,High,Medium,High,Yes,0.85948,0.0,0.51539,0.0,No
204,Carbon tax/distance,Workshop,Low,Medium,Low,Yes,1.03834,0.0,0.51539,0.0,No
205,Carbon tax/flight,Workshop,Medium,Low,High,No,0.85948,0.0,-1.94029,0.0,No
206,Carbon tax/distance,Conference,Medium,Low,High,Yes,1.03834,0.0,0.51539,0.0,No
207,Carbon tax/distance,Workshop,Medium,Medium,Medium,Yes,1.03834,0.0,0.51539,0.0,No
208,Carbon tax/flight,Meetings,Low,Low,Medium,Yes,0.85948,0.0,0.51539,0.0,No
209,Carbon tax/distance,Meetings,Medium,Low,Low,Yes,1.03834,0.0,0.51539,0.0,No
210,Cap distance,Meetings,Medium,High,High,Yes,-0.51172,0.0,0.51539,0.0,No
211,Cap distance,Meetings,Low,High,High,Yes,-0.51172,0.0,0.51539,0.0,No
212,Carbon tax/flight,Workshop,Low,Low,High,No,0.85948,0.0,-1.94029,0.0,No
213,As-is,Workshop,Low,Medium,High,No,-1.38611,0.0,0.51539,0.0,No
214,As-is,Meetings,Low,Medium,Medium,Yes,-1.38611,0.0,0.51539,0.0,No
